tasker_id;id;order_id;created_at
4702316;642126;224773;2021-12-09 04:57:25
5541179;642125;224773;2021-12-09 04:57:13
45441965;642124;224773;2021-12-09 04:57:00
92202634;642120;224773;2021-12-09 04:56:48
1442968;642119;224773;2021-12-09 04:56:46
1403756;642117;224773;2021-12-09 04:56:34
23613684;642112;222781;2021-12-09 04:55:29
99322197;642060;224731;2021-12-09 04:45:07
3057346;642055;224635;2021-12-09 04:44:11
99322197;642054;224450;2021-12-09 04:44:07
12930448;642036;224730;2021-12-09 04:42:45
23097151;642020;223920;2021-12-09 04:40:46
23097151;642003;224450;2021-12-09 04:38:21
13324225;642001;224730;2021-12-09 04:37:42
60972212;641999;224731;2021-12-09 04:37:16
5980906;641997;224450;2021-12-09 04:37:13
49447889;641996;224450;2021-12-09 04:37:08
8143905;641993;224730;2021-12-09 04:36:58
60972212;641990;224730;2021-12-09 04:36:43
15579002;641989;224730;2021-12-09 04:36:36
82676385;641988;224730;2021-12-09 04:36:16
104199522;641983;224450;2021-12-09 04:35:55
12930448;641968;224723;2021-12-09 04:33:54
51171597;641957;224712;2021-12-09 04:32:21
23097151;641952;223920;2021-12-09 04:31:28
6943689;641945;224691;2021-12-09 04:30:35
51171597;641932;224707;2021-12-09 04:28:36
25116654;641927;224697;2021-12-09 04:26:29
18205576;641921;224697;2021-12-09 04:26:08
6466206;641918;224094;2021-12-09 04:25:43
14319045;641916;224635;2021-12-09 04:25:20
15731416;641912;224635;2021-12-09 04:24:40
13324225;641903;224697;2021-12-09 04:23:55
2525075;641896;224697;2021-12-09 04:23:13
54048261;641897;224398;2021-12-09 04:23:13
54048261;641892;224691;2021-12-09 04:22:18
54048261;641883;224546;2021-12-09 04:21:39
9795923;641866;177659;2021-12-09 04:20:08
90114782;641864;224550;2021-12-09 04:19:55
54286243;641839;224635;2021-12-09 04:16:47
7104465;641826;224635;2021-12-09 04:15:17
103633168;641793;221284;2021-12-09 04:12:56
36911204;641782;224672;2021-12-09 04:12:27
1778195;641779;224094;2021-12-09 04:12:20
15523228;641775;224672;2021-12-09 04:12:14
93218530;641773;224672;2021-12-09 04:12:08
69938599;641770;224672;2021-12-09 04:11:59
6470519;641769;224672;2021-12-09 04:11:58
6043368;641762;224471;2021-12-09 04:11:24
97170593;641664;224635;2021-12-09 03:59:07
17357967;641661;224635;2021-12-09 03:58:52
8044997;641659;224635;2021-12-09 03:58:31
45441965;641629;224622;2021-12-09 03:54:03
4702316;641616;224622;2021-12-09 03:52:44
60972212;641571;224450;2021-12-09 03:41:36
14319045;641563;223952;2021-12-09 03:39:20
90114782;641528;224592;2021-12-09 03:32:13
28354227;641482;224450;2021-12-09 03:14:10
1336977;641469;224550;2021-12-09 03:10:42
94045033;641437;214937;2021-12-09 03:05:31
794972;641431;224549;2021-12-09 03:04:40
9588176;641424;224550;2021-12-09 03:03:34
2908272;641422;224549;2021-12-09 03:03:17
36775444;641415;224450;2021-12-09 03:01:28
12599979;641409;224450;2021-12-09 02:59:39
15579002;641382;224531;2021-12-09 02:48:24
8759400;641273;224462;2021-12-09 02:31:47
82540200;641257;224482;2021-12-09 02:29:56
82540200;641226;224462;2021-12-09 02:27:43
95847910;641168;224480;2021-12-09 02:19:43
5750394;641159;224471;2021-12-09 02:14:03
82540200;641103;224446;2021-12-09 02:02:00
25116654;641102;224450;2021-12-09 02:01:41
95847910;641101;224450;2021-12-09 02:01:25
8151907;641100;224450;2021-12-09 02:01:07
1055735;641093;224446;2021-12-09 01:59:41
10859031;641059;223993;2021-12-09 01:47:36
13173966;640986;223920;2021-12-09 01:26:46
69163946;640935;224402;2021-12-09 01:18:12
4774877;640897;223740;2021-12-09 01:13:17
2181399;640896;221061;2021-12-09 01:12:48
82540200;640630;224323;2021-12-08 22:37:37
5947336;640629;224094;2021-12-08 22:36:46
4311657;640588;218488;2021-12-08 20:35:33
8799342;640522;223952;2021-12-08 19:02:10
6171821;640520;222781;2021-12-08 18:58:46
80801723;640502;224189;2021-12-08 18:43:18
103633168;640501;222781;2021-12-08 18:41:01
2181399;640496;224189;2021-12-08 18:32:30
2181399;640495;224255;2021-12-08 18:32:04
64349774;640484;222781;2021-12-08 18:26:55
64349774;640483;223993;2021-12-08 18:26:03
60392069;640472;214937;2021-12-08 18:18:27
71632794;640466;224238;2021-12-08 18:12:59
100577841;640463;224238;2021-12-08 18:09:54
1455355;640458;223920;2021-12-08 18:06:59
55076341;640440;222367;2021-12-08 17:50:34
55076341;640430;223993;2021-12-08 17:46:56
50092974;640424;222986;2021-12-08 17:42:41
50092974;640416;223383;2021-12-08 17:40:54
50092974;640408;223920;2021-12-08 17:39:32
50092974;640404;224094;2021-12-08 17:38:22
1336977;640391;224105;2021-12-08 17:32:22
84771290;640389;224217;2021-12-08 17:30:15
22209825;640388;223993;2021-12-08 17:27:02
26521367;640387;223920;2021-12-08 17:26:49
23732084;640383;223993;2021-12-08 17:22:22
32095185;640377;224217;2021-12-08 17:21:03
21318865;640373;224215;2021-12-08 17:18:08
1311634;640372;223928;2021-12-08 17:17:52
5541179;640367;224215;2021-12-08 17:14:08
1311634;640365;223972;2021-12-08 17:13:45
92202634;640364;224215;2021-12-08 17:13:37
22533408;640363;224215;2021-12-08 17:13:27
1403756;640362;224215;2021-12-08 17:13:12
22533408;640341;224205;2021-12-08 17:05:39
26731640;640340;224205;2021-12-08 17:05:34
1403756;640339;224205;2021-12-08 17:05:33
25116654;640337;223920;2021-12-08 17:05:24
84771290;640330;224189;2021-12-08 17:03:54
25042247;640307;223993;2021-12-08 16:59:09
72492676;640291;224094;2021-12-08 16:52:29
15316744;640286;223114;2021-12-08 16:46:35
15316744;640285;224094;2021-12-08 16:44:55
6928006;640278;224189;2021-12-08 16:37:40
3881594;640276;224189;2021-12-08 16:36:16
5746553;640272;224187;2021-12-08 16:35:27
14558713;640267;224187;2021-12-08 16:35:05
23732084;640266;223952;2021-12-08 16:35:02
7168172;640263;223993;2021-12-08 16:34:29
100816637;640261;223639;2021-12-08 16:34:06
71632794;640245;224182;2021-12-08 16:27:07
67603713;640242;223993;2021-12-08 16:26:06
2132725;640232;223993;2021-12-08 16:20:09
4898996;640224;223993;2021-12-08 16:17:06
5145360;640211;223920;2021-12-08 16:09:09
5145360;640210;223993;2021-12-08 16:07:44
93551515;640204;214937;2021-12-08 16:02:37
4462313;640195;222781;2021-12-08 15:58:56
4462313;640190;222781;2021-12-08 15:57:34
10082797;640133;224094;2021-12-08 15:47:02
26108177;640129;224094;2021-12-08 15:44:10
6171821;640125;223928;2021-12-08 15:42:04
2341376;640119;224136;2021-12-08 15:41:06
94392040;640111;223920;2021-12-08 15:40:52
5296557;640101;224134;2021-12-08 15:39:30
1998780;640099;224134;2021-12-08 15:39:17
6171821;640095;223994;2021-12-08 15:38:38
22533408;640085;224129;2021-12-08 15:37:01
6239469;640084;224094;2021-12-08 15:36:59
50632719;640057;224124;2021-12-08 15:32:59
14319045;640031;223952;2021-12-08 15:25:20
4334641;640028;224114;2021-12-08 15:25:08
56390071;640027;224114;2021-12-08 15:24:55
79188018;640026;224114;2021-12-08 15:24:40
96862816;640025;224114;2021-12-08 15:24:39
93955542;640024;224114;2021-12-08 15:24:34
84771290;640023;223993;2021-12-08 15:24:18
22533408;640018;223857;2021-12-08 15:23:00
22533408;640013;223933;2021-12-08 15:22:08
22533408;640008;224105;2021-12-08 15:20:21
10454188;640004;224105;2021-12-08 15:18:54
5296557;640000;224102;2021-12-08 15:17:58
2161065;639999;224102;2021-12-08 15:17:51
63276889;639998;224102;2021-12-08 15:17:48
5282628;639977;224094;2021-12-08 15:08:14
97170593;639971;224094;2021-12-08 15:06:11
6521800;639965;224094;2021-12-08 15:04:58
60972212;639964;224063;2021-12-08 15:04:41
99052697;639959;224094;2021-12-08 15:04:12
5688545;639952;224094;2021-12-08 15:03:09
89963609;639950;224094;2021-12-08 15:02:53
18205576;639948;224094;2021-12-08 15:02:44
6704679;639947;224094;2021-12-08 15:02:41
9468127;639900;224086;2021-12-08 14:57:05
27089317;639899;224011;2021-12-08 14:56:40
84966066;639894;224083;2021-12-08 14:55:26
9290202;639893;223993;2021-12-08 14:55:14
81357101;639889;223920;2021-12-08 14:52:39
2341376;639881;224079;2021-12-08 14:49:40
7336030;639880;223920;2021-12-08 14:48:56
47080748;639864;223920;2021-12-08 14:41:03
20569172;639861;189721;2021-12-08 14:40:22
20569172;639857;189731;2021-12-08 14:39:58
48221689;639833;224063;2021-12-08 14:34:22
20569172;639827;224063;2021-12-08 14:33:43
6060968;639826;224063;2021-12-08 14:33:17
48221689;639825;224063;2021-12-08 14:33:02
4641495;639824;224063;2021-12-08 14:32:55
99052697;639820;223993;2021-12-08 14:32:19
5541179;639819;223826;2021-12-08 14:31:49
99052697;639817;177659;2021-12-08 14:31:11
8151907;639795;223285;2021-12-08 14:21:43
70486317;639794;224052;2021-12-08 14:21:31
89963609;639792;224052;2021-12-08 14:20:51
19668387;639791;224052;2021-12-08 14:20:43
37353516;639789;224052;2021-12-08 14:20:31
18205576;639786;224052;2021-12-08 14:20:00
10413794;639785;223920;2021-12-08 14:19:57
6043368;639781;224050;2021-12-08 14:19:02
6171821;639779;224050;2021-12-08 14:18:32
6868441;639778;224050;2021-12-08 14:18:30
8151907;639777;223920;2021-12-08 14:18:24
2973971;639776;224050;2021-12-08 14:18:23
3171649;639774;224050;2021-12-08 14:18:07
51175674;639772;223993;2021-12-08 14:17:25
100577841;639771;224050;2021-12-08 14:17:17
82676385;639769;224050;2021-12-08 14:17:02
70788540;639763;223920;2021-12-08 14:15:44
2556709;639761;224041;2021-12-08 14:15:33
10294688;639760;223993;2021-12-08 14:15:32
1442968;639736;224030;2021-12-08 14:09:52
70486317;639731;224041;2021-12-08 14:08:55
47388207;639685;224017;2021-12-08 13:52:19
50632719;639673;223974;2021-12-08 13:48:50
6552080;639664;223993;2021-12-08 13:44:29
22274042;639643;223122;2021-12-08 13:39:23
31492396;639636;223993;2021-12-08 13:37:46
12975317;639633;223122;2021-12-08 13:37:36
76992164;639632;222853;2021-12-08 13:37:29
32095185;639631;223993;2021-12-08 13:37:05
22274042;639628;223993;2021-12-08 13:35:54
26108177;639621;223994;2021-12-08 13:34:25
27089317;639618;223993;2021-12-08 13:33:07
16619955;639617;223529;2021-12-08 13:33:02
2181399;639616;223993;2021-12-08 13:32:28
9468127;639611;223993;2021-12-08 13:31:50
27325418;639608;223993;2021-12-08 13:31:22
5498565;639580;223974;2021-12-08 13:23:22
6943689;639539;223974;2021-12-08 13:17:38
6552080;639480;223937;2021-12-08 13:09:48
17102722;639478;223542;2021-12-08 13:09:42
17102722;639474;223933;2021-12-08 13:08:26
20351677;639471;223937;2021-12-08 13:07:52
2181399;639461;223937;2021-12-08 13:04:00
102587924;639452;223937;2021-12-08 13:01:41
10294688;639451;223937;2021-12-08 13:01:37
100577841;639449;223920;2021-12-08 13:00:28
8189513;639443;222367;2021-12-08 12:56:08
60972212;639438;223920;2021-12-08 12:55:39
9468127;639434;223937;2021-12-08 12:55:11
1403756;639426;223853;2021-12-08 12:54:13
4663176;639425;223920;2021-12-08 12:54:10
70039004;639422;223937;2021-12-08 12:53:57
51158506;639420;223937;2021-12-08 12:53:49
4663176;639419;223937;2021-12-08 12:53:38
27089317;639418;223937;2021-12-08 12:53:10
99052697;639417;223937;2021-12-08 12:53:02
90114782;639411;223933;2021-12-08 12:49:40
9786170;639410;223933;2021-12-08 12:49:39
92202634;639409;223933;2021-12-08 12:49:33
1450253;639408;223933;2021-12-08 12:48:56
104226762;639406;223920;2021-12-08 12:48:45
10454188;639407;223933;2021-12-08 12:48:45
71632794;639387;223928;2021-12-08 12:44:40
12930448;639371;223920;2021-12-08 12:41:30
17102722;639360;223547;2021-12-08 12:40:10
71632794;639352;223920;2021-12-08 12:39:31
2161065;639351;223923;2021-12-08 12:39:14
17102722;639350;223826;2021-12-08 12:39:09
18205576;639349;223920;2021-12-08 12:38:18
61423579;639346;223920;2021-12-08 12:38:05
3171649;639342;223920;2021-12-08 12:34:56
2973971;639340;223920;2021-12-08 12:34:24
4028566;639339;223920;2021-12-08 12:33:56
15579002;639337;223920;2021-12-08 12:33:15
3171649;639332;223920;2021-12-08 12:32:29
4663176;639280;223899;2021-12-08 12:17:43
102037205;639279;223899;2021-12-08 12:17:42
103998677;639278;223899;2021-12-08 12:17:36
2525075;639275;223899;2021-12-08 12:16:34
3171649;639273;223899;2021-12-08 12:16:27
100577841;639272;223899;2021-12-08 12:16:09
71632794;639271;223899;2021-12-08 12:16:00
30214802;639259;223897;2021-12-08 12:13:23
65441708;639258;222781;2021-12-08 12:13:04
65441708;639255;221061;2021-12-08 12:11:10
2161065;639254;223889;2021-12-08 12:10:46
9521460;639235;222080;2021-12-08 12:04:21
11851790;639224;223639;2021-12-08 11:59:24
17102722;639214;223751;2021-12-08 11:54:23
6556928;639198;223869;2021-12-08 11:44:40
17102722;639188;223838;2021-12-08 11:41:30
2161065;639183;223858;2021-12-08 11:39:02
103998677;639176;223859;2021-12-08 11:35:07
3171649;639174;223383;2021-12-08 11:34:39
99052697;639168;223855;2021-12-08 11:33:05
9786170;639167;223838;2021-12-08 11:32:45
8332417;639165;223855;2021-12-08 11:32:24
15461200;639164;223834;2021-12-08 11:32:12
15461200;639155;223834;2021-12-08 11:29:04
51175674;639151;223122;2021-12-08 11:27:07
1492273;639147;223847;2021-12-08 11:26:14
8044997;639123;223834;2021-12-08 11:24:43
15461200;639122;223834;2021-12-08 11:24:42
7177235;639120;222781;2021-12-08 11:24:31
4702316;639113;223838;2021-12-08 11:22:33
7754487;639111;223834;2021-12-08 11:22:26
45441965;639109;223838;2021-12-08 11:22:20
57872863;639106;223838;2021-12-08 11:22:10
6060968;639096;223834;2021-12-08 11:21:42
22533408;639093;223838;2021-12-08 11:21:26
15461200;639092;223834;2021-12-08 11:21:08
7754487;639086;223834;2021-12-08 11:20:39
36911204;639083;223834;2021-12-08 11:20:18
1442968;639077;223838;2021-12-08 11:19:44
92202634;639073;223838;2021-12-08 11:19:18
47172983;639072;223834;2021-12-08 11:19:14
9253686;639070;223834;2021-12-08 11:19:09
15461200;639067;223834;2021-12-08 11:18:52
2973971;639063;223819;2021-12-08 11:18:35
15579002;639061;223819;2021-12-08 11:18:25
5746553;639060;223834;2021-12-08 11:18:08
81357101;639054;223819;2021-12-08 11:16:42
29173711;639042;223819;2021-12-08 11:15:32
57872863;639040;223826;2021-12-08 11:15:24
26731640;639037;223826;2021-12-08 11:15:22
22533408;639038;223826;2021-12-08 11:15:22
100577841;639032;223383;2021-12-08 11:14:45
100577841;639027;223819;2021-12-08 11:14:03
8769851;639023;222217;2021-12-08 11:11:52
22533408;638981;223803;2021-12-08 11:00:49
2161065;638973;223797;2021-12-08 10:57:09
47080748;638962;214937;2021-12-08 10:55:05
65121955;638961;223751;2021-12-08 10:55:04
6171821;638922;223771;2021-12-08 10:48:22
40847264;638912;223772;2021-12-08 10:46:02
2410587;638879;223772;2021-12-08 10:41:02
9468127;638877;223771;2021-12-08 10:40:47
9468127;638876;223778;2021-12-08 10:40:29
45441965;638858;223751;2021-12-08 10:37:32
9588176;638856;223751;2021-12-08 10:37:03
4641495;638854;223771;2021-12-08 10:36:51
99470318;638845;223519;2021-12-08 10:34:31
4663176;638836;223383;2021-12-08 10:33:01
29173711;638835;223645;2021-12-08 10:32:47
57872863;638832;223751;2021-12-08 10:32:13
5947336;638794;223744;2021-12-08 10:27:11
9786170;638787;223751;2021-12-08 10:26:13
70486317;638785;223744;2021-12-08 10:26:04
45441965;638773;223743;2021-12-08 10:23:28
22533408;638756;223751;2021-12-08 10:21:21
92202634;638755;223751;2021-12-08 10:21:16
10454188;638754;223751;2021-12-08 10:21:07
90114782;638752;223751;2021-12-08 10:21:04
1442968;638749;223751;2021-12-08 10:20:51
674330;638746;223743;2021-12-08 10:20:31
7335270;638738;223461;2021-12-08 10:19:12
45441965;638733;223743;2021-12-08 10:18:32
22533408;638731;223743;2021-12-08 10:18:13
92202634;638730;223743;2021-12-08 10:17:56
27089317;638693;222367;2021-12-08 10:10:58
27089317;638686;223441;2021-12-08 10:10:29
27089317;638676;223449;2021-12-08 10:09:31
27089317;638673;223529;2021-12-08 10:08:36
60972212;638648;223645;2021-12-08 10:06:39
60972212;638625;223680;2021-12-08 10:04:29
76992164;638571;223405;2021-12-08 09:59:55
55180827;638558;223645;2021-12-08 09:57:53
47080748;638532;223680;2021-12-08 09:54:20
25116654;638524;223680;2021-12-08 09:51:51
14497310;638518;223114;2021-12-08 09:49:58
100577841;638516;223680;2021-12-08 09:49:54
66982313;638508;223680;2021-12-08 09:49:09
6317029;638502;223645;2021-12-08 09:48:27
667937;638500;223639;2021-12-08 09:48:21
12930448;638498;223680;2021-12-08 09:48:08
6060968;638497;218488;2021-12-08 09:48:03
50704304;638491;223680;2021-12-08 09:46:10
15461200;638486;223680;2021-12-08 09:45:15
103998677;638478;223680;2021-12-08 09:43:30
32095185;638477;223680;2021-12-08 09:43:27
23818846;638476;223680;2021-12-08 09:43:22
104107291;638475;223680;2021-12-08 09:43:18
5947336;638473;223680;2021-12-08 09:43:01
93996395;638471;223680;2021-12-08 09:42:50
15579002;638468;223680;2021-12-08 09:42:21
36775444;638467;223680;2021-12-08 09:42:17
9468127;638442;223645;2021-12-08 09:38:57
71632794;638427;223383;2021-12-08 09:34:56
32095185;638423;223657;2021-12-08 09:34:02
9588176;638421;223667;2021-12-08 09:33:37
5504281;638418;223667;2021-12-08 09:33:13
1450253;638412;223667;2021-12-08 09:33:02
22533408;638407;223667;2021-12-08 09:32:45
92202634;638406;223667;2021-12-08 09:32:44
25037640;638403;223639;2021-12-08 09:32:37
57872863;638402;223667;2021-12-08 09:32:36
1442968;638401;223667;2021-12-08 09:32:34
5504281;638391;223657;2021-12-08 09:32:00
5009089;638388;223657;2021-12-08 09:31:55
1492273;638371;223657;2021-12-08 09:30:56
15581541;638368;223657;2021-12-08 09:30:30
5504281;638367;222986;2021-12-08 09:30:24
11976489;638364;223657;2021-12-08 09:30:19
10082797;638362;223657;2021-12-08 09:30:12
81357101;638360;223657;2021-12-08 09:29:59
5504281;638359;223045;2021-12-08 09:29:49
11138323;638357;223657;2021-12-08 09:29:27
4641495;638356;223657;2021-12-08 09:29:24
10283884;638351;223657;2021-12-08 09:28:55
971216;638342;223639;2021-12-08 09:27:35
10711598;638339;223542;2021-12-08 09:27:01
10711598;638335;223547;2021-12-08 09:26:22
10711598;638331;223551;2021-12-08 09:26:02
84771290;638323;223529;2021-12-08 09:25:20
6171821;638318;223645;2021-12-08 09:24:53
5876124;638317;223639;2021-12-08 09:24:45
66984258;638315;217216;2021-12-08 09:24:08
27380030;638313;223645;2021-12-08 09:23:46
39897809;638312;223645;2021-12-08 09:23:42
38116640;638307;223645;2021-12-08 09:23:15
13007098;638303;223645;2021-12-08 09:22:28
20590363;638299;223639;2021-12-08 09:21:16
81357101;638296;223637;2021-12-08 09:20:46
11976489;638294;223637;2021-12-08 09:20:37
33416963;638293;223300;2021-12-08 09:20:32
51629860;638292;223122;2021-12-08 09:20:29
48221689;638291;223637;2021-12-08 09:20:28
18205576;638289;223637;2021-12-08 09:20:23
73798616;638287;223639;2021-12-08 09:20:15
1492273;638286;223637;2021-12-08 09:20:10
33416963;638283;223637;2021-12-08 09:19:55
66434002;638284;223639;2021-12-08 09:19:55
1401092;638282;223637;2021-12-08 09:19:41
82750651;638281;223637;2021-12-08 09:19:39
14916383;638280;223637;2021-12-08 09:19:19
