tasker_id;id;order_id;created_at
63567406;642115;224569;2021-12-09 04:56:06
12668632;642114;224491;2021-12-09 04:55:48
16037447;642113;224766;2021-12-09 04:55:38
863888;642111;224766;2021-12-09 04:55:29
5863622;642110;224766;2021-12-09 04:55:24
4200893;642109;224766;2021-12-09 04:55:10
69957640;642108;224766;2021-12-09 04:55:01
2937137;642096;224664;2021-12-09 04:51:22
18718798;642093;224759;2021-12-09 04:50:56
101240680;642094;224759;2021-12-09 04:50:56
2923360;642092;224759;2021-12-09 04:50:55
771365;642090;224759;2021-12-09 04:50:51
3425374;642078;224752;2021-12-09 04:47:34
11580742;642074;224752;2021-12-09 04:46:59
3391538;642073;224752;2021-12-09 04:46:50
18718798;642059;224739;2021-12-09 04:45:06
18718798;642058;224739;2021-12-09 04:44:34
39433699;642057;222682;2021-12-09 04:44:33
3425374;642052;224748;2021-12-09 04:43:48
11580742;642051;224748;2021-12-09 04:43:43
18718798;642049;224739;2021-12-09 04:43:38
3193529;642045;224741;2021-12-09 04:43:19
49820043;642046;224748;2021-12-09 04:43:19
11580742;642039;224744;2021-12-09 04:43:08
8744032;642037;224744;2021-12-09 04:42:45
3193529;642034;224744;2021-12-09 04:42:29
49820043;642031;224744;2021-12-09 04:42:22
16633712;642032;224664;2021-12-09 04:42:22
8335059;642030;224744;2021-12-09 04:42:20
573697;642029;224744;2021-12-09 04:42:09
82703565;642025;224740;2021-12-09 04:41:37
2936818;642024;224093;2021-12-09 04:41:32
16953067;642023;224569;2021-12-09 04:41:25
2718248;642021;224704;2021-12-09 04:40:59
4641769;642019;224733;2021-12-09 04:40:42
49820043;642018;224735;2021-12-09 04:40:21
792933;642017;224664;2021-12-09 04:40:19
792933;642012;224733;2021-12-09 04:39:05
61541169;642011;224733;2021-12-09 04:38:49
76232068;642010;224733;2021-12-09 04:38:47
2923360;642008;224733;2021-12-09 04:38:45
101240680;642007;224733;2021-12-09 04:38:44
6568823;642006;224733;2021-12-09 04:38:38
18718798;642005;224733;2021-12-09 04:38:33
66236996;642004;224704;2021-12-09 04:38:31
1597505;642002;224226;2021-12-09 04:38:01
3193529;641995;224717;2021-12-09 04:37:05
3391538;641977;224726;2021-12-09 04:34:50
49820043;641976;224726;2021-12-09 04:34:46
49820043;641973;224686;2021-12-09 04:34:25
49820043;641970;224686;2021-12-09 04:34:03
18718798;641960;224600;2021-12-09 04:32:51
103256546;641955;224664;2021-12-09 04:32:09
904208;641953;224704;2021-12-09 04:31:44
12668632;641949;224491;2021-12-09 04:31:16
2923360;641939;224600;2021-12-09 04:29:56
48817936;641937;219791;2021-12-09 04:29:27
18718798;641928;224664;2021-12-09 04:26:51
11580742;641925;224704;2021-12-09 04:26:24
3308360;641926;224704;2021-12-09 04:26:24
3391538;641922;224704;2021-12-09 04:26:09
